Institution,Count AI,Faculty AI,Count Systems,Faculty Systems,Count Theory,Faculty Theory,Count Interdisciplinary,Faculty Interdisciplinary
Carnegie Mellon University,71.4,93.0,11.9,77.0,21.1,29.0,13.8,94.0
Univ. of Illinois at Urbana-Champaign,46.1,66.0,12.6,70.0,16.0,20.0,7.2,51.0
Univ. of California - San Diego,31.6,57.0,9.0,58.0,10.1,18.0,10.3,58.0
Massachusetts Institute of Technology,28.1,65.0,8.6,49.0,16.2,24.0,7.9,39.0
Georgia Institute of Technology,28.5,77.0,7.8,64.0,6.9,13.0,10.2,66.0
Stanford University,36.7,54.0,5.4,32.0,13.3,19.0,11.5,39.0
University of Michigan,30.4,53.0,9.0,49.0,9.3,15.0,5.9,43.0
University of Washington,28.0,47.0,6.2,34.0,12.2,14.0,10.0,50.0
Univ. of California - Berkeley,23.2,56.0,7.4,46.0,15.9,21.0,6.4,51.0
Cornell University,42.0,48.0,5.7,38.0,12.8,16.0,6.8,43.0
University of Maryland - College Park,31.5,46.0,4.6,34.0,5.6,12.0,11.2,45.0
Northeastern University,19.4,50.0,5.8,38.0,11.6,13.0,5.4,45.0
University of Wisconsin - Madison,14.8,38.0,6.8,38.0,9.5,11.0,4.4,26.0
Columbia University,23.0,34.0,5.0,33.0,8.8,17.0,5.0,19.0
Purdue University,14.0,47.0,6.7,44.0,8.3,16.0,4.2,30.0
University of Texas at Austin,20.9,28.0,6.0,30.0,14.0,15.0,3.1,17.0
University of Pennsylvania,21.5,47.0,5.1,34.0,7.4,18.0,4.8,38.0
Princeton University,15.5,36.0,4.8,27.0,6.4,14.0,4.8,22.0
University of Massachusetts Amherst,28.8,40.0,4.6,36.0,2.6,4.0,4.0,30.0
New York University,20.2,47.0,3.4,29.0,9.4,14.0,4.5,22.0
University of Southern California,21.7,41.0,4.5,27.0,4.1,10.0,3.3,27.0
Univ. of California - Los Angeles,27.6,25.0,4.1,21.0,10.0,7.0,1.9,15.0
Stony Brook University,15.5,35.0,3.8,33.0,5.2,7.0,4.1,24.0
University of Chicago,8.9,25.0,6.0,28.0,3.9,10.0,3.2,19.0
Univ. of California - Irvine,11.6,22.0,5.0,38.0,3.2,8.0,3.5,32.0
Univ. of California - Santa Barbara,15.9,25.0,4.6,23.0,5.9,6.0,2.6,10.0
Rutgers University,24.1,28.0,2.8,21.0,3.4,10.0,3.9,23.0
Duke University,14.1,30.0,3.9,26.0,3.5,9.0,2.9,19.0
Univ. of California - Riverside,7.2,21.0,6.6,35.0,2.4,7.0,2.1,14.0
Northwestern University,7.8,24.0,3.8,25.0,3.2,6.0,4.0,21.0
Pennsylvania State University,14.5,34.0,5.0,38.0,1.7,5.0,2.1,16.0
University of Utah,7.4,17.0,3.3,35.0,2.5,6.0,4.4,28.0
George Mason University,9.2,30.0,3.0,33.0,2.0,4.0,4.4,23.0
Harvard University,11.8,22.0,2.8,13.0,3.9,11.0,3.4,14.0
Ohio State University,10.8,25.0,4.3,31.0,2.0,4.0,2.1,15.0
Texas A&M University,11.4,25.0,3.0,18.0,1.6,2.0,4.2,23.0
Univ. of California - Santa Cruz,12.1,28.0,2.9,31.0,3.5,8.0,3.0,26.0
Yale University,6.4,21.0,3.1,22.0,7.2,12.0,3.2,13.0
Boston University,12.6,23.0,3.0,21.0,5.5,10.0,1.8,9.0
Brown University,10.5,22.0,2.2,19.0,3.4,9.0,4.7,19.0
North Carolina State University,4.0,24.0,4.6,34.0,2.3,4.0,3.1,28.0
University at Buffalo,12.8,29.0,3.3,28.0,2.7,4.0,1.9,16.0
Rice University,10.8,19.0,2.9,20.0,3.2,4.0,2.3,13.0
University of Colorado Boulder,6.8,24.0,2.4,24.0,2.3,6.0,4.4,39.0
University of Illinois at Chicago,16.8,24.0,2.2,22.0,3.5,7.0,2.3,17.0
University of North Carolina,15.3,18.0,2.2,12.0,1.6,2.0,3.4,15.0
University of Virginia,10.3,25.0,3.2,26.0,2.3,4.0,2.0,12.0
Arizona State University,13.3,30.0,2.7,24.0,1.5,2.0,2.3,13.0
University of Minnesota,8.5,22.0,2.8,18.0,1.2,1.0,3.5,19.0
Virginia Tech,6.3,22.0,3.2,30.0,1.7,1.0,3.1,28.0
Univ. of California - Davis,5.9,14.0,2.7,21.0,2.5,6.0,2.5,12.0
Johns Hopkins University,16.6,22.0,1.5,10.0,5.4,5.0,1.8,14.0
Oregon State University,10.1,17.0,1.8,13.0,3.4,5.0,2.4,15.0
Indiana University,3.5,18.0,2.5,23.0,1.8,3.0,3.0,22.0
University of Central Florida,8.2,21.0,2.0,16.0,0.0,0.0,2.5,18.0
University of Rochester,10.8,21.0,1.8,10.0,1.6,2.0,1.8,9.0
Michigan State University,11.2,16.0,1.6,10.0,1.1,2.0,2.0,14.0
Rochester Institute of Technology,6.9,20.0,1.7,15.0,1.3,2.0,2.6,24.0
University of Pittsburgh,8.2,17.0,2.1,14.0,1.2,1.0,1.6,11.0
University of Texas at Dallas,12.6,26.0,1.7,13.0,2.0,3.0,1.5,8.0
Washington University in St. Louis,6.6,16.0,1.7,11.0,1.5,5.0,2.2,12.0
University of Notre Dame,6.5,14.0,1.8,16.0,0.0,0.0,1.9,11.0
Univ. of California - Merced,4.5,6.0,1.8,11.0,1.9,1.0,1.8,8.0
University of Delaware,3.8,12.0,1.7,11.0,1.4,1.0,2.5,10.0
University of Florida,3.4,14.0,1.8,15.0,1.5,1.0,2.4,14.0
University of Texas at Arlington,5.9,9.0,2.0,17.0,0.0,0.0,1.6,6.0
University of Connecticut,3.5,11.0,1.7,13.0,2.1,5.0,1.9,10.0
Binghamton University,4.2,9.0,2.1,13.0,0.0,0.0,1.3,5.0
Clemson University,2.0,9.0,1.5,7.0,0.0,0.0,3.2,20.0
TTI Chicago,7.6,11.0,0.0,0.0,2.6,4.0,1.7,5.0
Vanderbilt University,2.8,14.0,1.6,13.0,1.2,2.0,2.3,13.0
Worcester Polytechnic Institute,4.5,9.0,1.4,9.0,0.0,0.0,2.3,14.0
California Institute of Technology,3.6,7.0,1.2,2.0,3.4,5.0,1.7,5.0
College of William and Mary,2.0,7.0,2.0,13.0,1.1,1.0,1.6,7.0
Dartmouth College,2.8,8.0,1.1,4.0,2.1,3.0,2.7,12.0
Florida State University,1.5,6.0,1.8,11.0,2.4,2.0,1.6,9.0
Iowa State University,3.7,13.0,1.6,16.0,1.3,2.0,1.4,4.0
Stevens Institute of Technology,4.1,8.0,1.6,8.0,1.4,2.0,1.3,3.0
CUNY,2.9,15.0,1.4,11.0,2.3,8.0,1.5,7.0
Emory University,6.1,11.0,1.3,5.0,0.0,0.0,1.4,4.0
Georgetown University,3.1,9.0,1.4,10.0,3.6,5.0,1.0,1.0
NJIT,2.6,13.0,1.8,14.0,1.3,4.0,1.3,5.0
Tufts University,2.6,7.0,1.4,7.0,1.1,1.0,2.1,12.0
University of Arizona,4.5,10.0,1.4,8.0,1.1,1.0,1.5,6.0
University of Oregon,5.9,7.0,1.4,9.0,1.0,1.0,1.2,3.0
Colorado School of Mines,2.2,4.0,1.4,5.0,1.1,1.0,1.7,8.0
Illinois Institute of Technology,3.0,7.0,1.8,11.0,0.0,0.0,1.1,1.0
Syracuse University,2.9,13.0,1.6,11.0,1.1,1.0,1.2,4.0
Temple University,5.6,11.0,1.2,5.0,0.0,0.0,1.4,8.0
Tulane University,3.8,6.0,1.3,3.0,1.2,1.0,1.5,4.0
University of Georgia,2.8,10.0,1.6,9.0,0.0,0.0,1.2,2.0
University of Houston,3.3,8.0,1.2,4.0,1.3,1.0,1.6,6.0
University of Nebraska,1.8,4.0,1.3,10.0,1.4,2.0,2.0,7.0
University of Tennessee,1.9,8.0,1.6,9.0,0.0,0.0,1.5,6.0
Washington State University,2.9,9.0,1.8,13.0,0.0,0.0,1.1,2.0
Brigham Young University,3.1,14.0,1.1,2.0,0.0,0.0,1.6,13.0
George Washington University,1.5,4.0,1.8,9.0,1.1,1.0,1.3,4.0
Lehigh University,3.1,8.0,1.1,5.0,0.0,0.0,1.9,8.0
UNC - Charlotte,2.1,12.0,1.3,5.0,0.0,0.0,2.1,10.0
University of Massachusetts Lowell,2.8,8.0,1.4,10.0,0.0,0.0,1.4,7.0
University of South Carolina,2.8,6.0,1.2,5.0,1.1,1.0,1.6,5.0
Wayne State University,2.8,10.0,1.4,5.0,0.0,0.0,1.3,3.0
Augusta University,1.3,3.0,1.3,6.0,1.6,3.0,1.5,5.0
Brandeis University,4.3,7.0,1.1,2.0,0.0,0.0,1.1,1.0
Case Western Reserve University,2.1,5.0,1.3,7.0,0.0,0.0,1.3,4.0
Drexel University,2.4,6.0,1.1,5.0,1.8,4.0,1.3,5.0
Florida International University,2.0,7.0,1.2,8.0,1.4,2.0,1.4,8.0
Portland State University,1.7,4.0,1.3,5.0,1.7,1.0,1.3,2.0
Rensselaer Polytechnic Institute,2.9,8.0,1.1,3.0,1.1,1.0,1.5,5.0
Univ. of Maryland - Baltimore County,3.2,11.0,1.1,5.0,0.0,0.0,1.4,6.0
University of Iowa,1.6,4.0,1.4,7.0,1.7,2.0,1.3,4.0
University of Louisiana - Lafayette,1.8,6.0,1.2,7.0,0.0,0.0,1.5,6.0
University of New Hampshire,2.9,5.0,1.2,2.0,0.0,0.0,1.3,5.0
University of North Texas,2.7,9.0,1.3,8.0,0.0,0.0,1.3,5.0
Auburn University,2.3,5.0,1.1,5.0,0.0,0.0,1.1,4.0
Boston College,2.2,4.0,1.0,2.0,2.0,4.0,1.3,2.0
Colorado State University,1.4,4.0,1.3,3.0,0.0,0.0,1.3,4.0
DePaul University,1.5,5.0,1.1,3.0,1.4,3.0,1.5,7.0
Kent State University,1.3,1.0,1.3,6.0,1.1,1.0,1.4,5.0
Michigan Technological University,1.3,5.0,1.2,4.0,1.7,1.0,1.4,5.0
University of Arkansas,1.9,2.0,1.2,3.0,1.4,1.0,1.0,1.0
University of Kansas,1.4,4.0,1.5,7.0,0.0,0.0,1.2,3.0
University of Kentucky,2.5,6.0,1.1,2.0,0.0,0.0,1.1,2.0
University of Memphis,1.8,5.0,1.1,3.0,0.0,0.0,1.6,5.0
University of Nevada,1.3,3.0,1.2,3.0,0.0,0.0,1.8,10.0
University of South Florida,1.3,3.0,1.3,5.0,1.1,1.0,1.4,3.0
University of Texas at San Antonio,1.2,4.0,1.5,8.0,0.0,0.0,1.3,4.0
Virginia Commonwealth University,1.4,4.0,1.2,3.0,1.6,2.0,1.4,4.0
Boise State University,1.4,3.0,1.1,3.0,0.0,0.0,1.2,2.0
Cleveland State University,1.4,3.0,1.1,3.0,0.0,0.0,1.1,2.0
Georgia State University,1.5,3.0,1.1,4.0,0.0,0.0,1.2,4.0
IUPUI,1.4,4.0,1.1,1.0,0.0,0.0,1.5,7.0
Kansas State University,1.4,3.0,1.2,4.0,1.3,1.0,1.2,1.0
Louisiana State University,1.2,3.0,1.2,5.0,1.1,1.0,1.1,2.0
New Mexico State University,1.6,5.0,1.1,5.0,0.0,0.0,1.1,2.0
Northern Arizona University,1.1,2.0,1.3,5.0,0.0,0.0,1.1,3.0
Old Dominion University,1.3,4.0,1.1,5.0,0.0,0.0,1.2,3.0
Texas State University,1.1,2.0,1.4,6.0,1.1,1.0,1.1,6.0
Texas Tech University,1.3,3.0,1.2,4.0,1.4,1.0,1.1,2.0
UCCS,1.8,5.0,1.1,4.0,0.0,0.0,1.2,3.0
University of Alabama - Birmingham,1.2,2.0,1.3,5.0,0.0,0.0,0.0,0.0
University of Hawaii at Manoa,1.1,1.0,1.1,4.0,1.4,3.0,1.1,4.0
University of Massachusetts Boston,1.2,3.0,1.2,3.0,0.0,0.0,1.2,4.0
University of Nebraska - Omaha,1.5,3.0,1.1,2.0,0.0,0.0,1.3,3.0
University of New Mexico,1.0,1.0,1.1,4.0,1.4,2.0,1.5,3.0
University of Vermont,1.2,3.0,1.2,5.0,0.0,0.0,1.2,2.0
West Virginia University,2.5,6.0,1.0,1.0,0.0,0.0,0.0,0.0
Florida Atlantic University,1.1,1.0,1.1,2.0,1.6,1.0,1.0,1.0
Mississippi State University,1.3,2.0,1.1,2.0,0.0,0.0,1.0,1.0
Naval Postgraduate School,0.0,0.0,1.2,6.0,1.1,1.0,1.2,4.0
OHSU,1.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Ohio University,1.1,1.0,1.1,2.0,0.0,0.0,1.1,2.0
Oklahoma State University,1.2,1.0,1.1,2.0,0.0,0.0,1.0,1.0
Saint Louis University,1.1,1.0,1.1,3.0,1.2,2.0,1.2,4.0
The University of Alabama,1.2,1.0,1.1,3.0,0.0,0.0,1.3,5.0
Towson University,1.2,1.0,0.0,0.0,1.3,1.0,1.1,2.0
UNC - Greensboro,1.2,1.0,1.0,1.0,0.0,0.0,1.2,3.0
University at Albany - SUNY,1.2,2.0,1.0,1.0,0.0,0.0,1.2,1.0
University of Cincinnati,1.0,1.0,1.2,2.0,1.1,1.0,1.0,2.0
University of Colorado - Denver,1.0,1.0,1.1,1.0,0.0,0.0,1.2,2.0
University of Denver,1.0,1.0,0.0,0.0,0.0,0.0,1.3,3.0
University of Michigan-Dearborn,1.2,3.0,1.3,5.0,0.0,0.0,1.0,1.0
University of Missouri,1.5,4.0,1.0,1.0,1.3,1.0,1.1,2.0
University of Nevada Las Vegas,0.0,0.0,1.2,5.0,0.0,0.0,1.0,1.0
University of New Orleans,1.0,1.0,1.1,1.0,0.0,0.0,1.0,1.0
University of Oklahoma,1.3,3.0,1.0,1.0,1.1,1.0,1.1,2.0
University of Southern Mississippi,1.2,1.0,0.0,0.0,0.0,0.0,1.2,2.0
University of Texas - El Paso,1.4,4.0,1.0,2.0,1.1,1.0,1.0,1.0
University of Wisconsin - Milwaukee,0.0,0.0,1.0,1.0,1.6,2.0,0.0,0.0
University of Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.0
Utah State University,1.1,1.0,1.1,3.0,0.0,0.0,1.2,4.0
Western Michigan University,1.0,1.0,1.1,2.0,0.0,0.0,1.0,1.0
Wichita State University,1.3,1.0,1.1,1.0,0.0,0.0,1.2,1.0
Air Force Institute of Technology,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.0
Florida Institute of Technology,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Indiana State University,0.0,0.0,0.0,0.0,1.3,2.0,0.0,0.0
Missouri S&T,1.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Missouri University of Technology,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
Montana State University,1.0,1.0,1.0,1.0,1.1,2.0,1.1,3.0
New Mexico Tech,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nova Southeastern University,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Oakland University,0.0,0.0,1.1,1.0,0.0,0.0,0.0,0.0
SIU Carbondale,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Southern Methodist University,0.0,0.0,1.1,2.0,0.0,0.0,1.1,2.0
University of Alabama - Huntsville,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
University of Louisville,0.0,0.0,1.0,1.0,0.0,0.0,1.1,1.0
University of Miami,0.0,0.0,1.1,1.0,0.0,0.0,1.1,1.0
University of Missouri - Kansas City,1.1,2.0,1.0,1.0,0.0,0.0,0.0,0.0
University of Tulsa,1.1,2.0,1.0,1.0,0.0,0.0,1.0,1.0
